Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:08:23,331.2883436,1488.888889,346.1538462,355.2631579,1288.888889,371.6216216,367.3469388,1355.555556,347.5177305,335.7142857,331.1258278,317.0731707,1600,289.9408284,401.5748031,495.9349593,398.5507246,369.3693694,460.1769912,389.8305085,324.7863248,1446.808511,1222.222222,429.6296296,1333.333333,1244.444444,1466.666667,1222.222222,1326.086957,500,1000,1044.444444,1333.333333,1170.212766,1102.040816,1288.888889,1422.222222,1266.666667,1333.333333,659.5744681,1444.444444,1533.333333,536.8421053,543.4782609,460,547.1698113,485.4368932,487.394958,322.147651,1466.666667,450.8196721,567.3076923,561.9047619,607.8431373,316.3265306,600,578.9473684,473.6842105,612.244898,504.587156,352.9411765,401.5151515,523.364486,1130.434783,414.1414141,585.8585859,470.5882353,516.4835165,494.7368421,495.1456311,568.627451,434.4262295,495.7264957,451.6129032,1239.130435,495.4954955,1391.304348,558.8235294,934.7826087,577.3195876,500,409.0909091,460.8695652,538.4615385,375,379.5620438,434.7826087,605.5045872,517.5438596,1311.111111,1152.173913,1130.434783,1086.956522,934.7826087,830.7692308,1333.333333
0:18:23,263.1578947,1133.333333,269.9386503,322.9813665,1088.888889,318.4713376,324.8407643,1222.222222,298.013245,302.0134228,298.136646,323.8636364,1155.555556,320.2247191,436.0902256,427.480916,335.6164384,415.2542373,462.1848739,338.7096774,328,1195.652174,1266.666667,281.6901408,1288.888889,1311.111111,1288.888889,1222.222222,1282.608696,323.3082707,1222.222222,1043.478261,891.3043478,829.787234,1326.530612,1488.888889,1422.222222,1400,1200,525.2525253,1244.444444,1422.222222,410,531.25,504.6728972,415.9292035,554.5454545,464.5669291,341.7721519,1466.666667,480.620155,490.9090909,545.4545455,425.9259259,427.184466,473.6842105,445.5445545,495.049505,519.2307692,504.3478261,432.9268293,414.2857143,571.4285714,1239.130435,514.2857143,528.8461538,440.3669725,552.0833333,450.9803922,394.4954128,532.1100917,446.1538462,408,371.2121212,1239.130435,601.6949153,1260.869565,495.3271028,1326.086957,456.3106796,426.0869565,435.8974359,403.2258065,323.7410072,422.0779221,371.6216216,467.2131148,478.6324786,373.9837398,1311.111111,1108.695652,1086.956522,1086.956522,1347.826087,761.9047619,1355.555556
0:28:23,281.0810811,1422.222222,316.091954,317.9190751,1133.333333,294.1176471,286.5497076,1066.666667,290.9090909,242.4242424,255.6818182,250,1444.444444,289.4736842,380.2816901,442.8571429,339.7435897,393.7007874,289.0625,445.2554745,340.7407407,1086.956522,1311.111111,292.9936306,1266.666667,1377.777778,1200,1644.444444,1065.217391,412.5874126,1000,911.1111111,1065.217391,1234.042553,897.9591837,1422.222222,1533.333333,1222.222222,1400,490.5660377,1288.888889,1333.333333,379.6296296,466.0194175,353.4482759,379.0322581,386.5546218,456.5217391,341.1764706,1355.555556,398.5507246,500,428.5714286,427.3504274,387.3873874,466.0194175,518.5185185,477.0642202,442.4778761,483.8709677,322.0338983,368.4210526,491.6666667,1304.347826,460.1769912,508.7719298,410.2564103,456.3106796,422.0183486,307.6923077,470.0854701,316.9014085,440.2985075,405.5944056,1586.956522,398.4375,1239.130435,344.8275862,1130.434783,446.4285714,346.7741935,359.375,355.5555556,370.8609272,297.6190476,341.6149068,371.2121212,496.0629921,323.3082707,1088.888889,956.5217391,1086.956522,1130.434783,1239.130435,935.483871,1288.888889
0:38:23,217.1717172,1133.333333,320.855615,291.8918919,1177.777778,251.3661202,227.027027,955.5555556,237.5690608,237.5690608,265.625,204.7619048,1644.444444,264.7058824,370.1298701,322.3684211,288.2352941,355.0724638,319.1489362,286.6666667,283.7837838,956.5217391,1400,269.005848,1488.888889,1222.222222,1244.444444,1244.444444,1391.304348,346.1538462,1066.666667,1088.888889,1044.444444,1195.652174,1142.857143,1444.444444,1511.111111,1311.111111,1311.111111,368.4210526,1466.666667,1511.111111,352.9411765,438.5964912,390.625,340.5797101,343.5114504,385.620915,320.6521739,1466.666667,326.6666667,446.1538462,389.3129771,449.6124031,319.6721311,380.5309735,420.1680672,389.8305085,377.0491803,345.5882353,316.0621762,305.3892216,400,1065.217391,398.3739837,419.3548387,320.3125,450.4504505,330.5084746,335.9375,464.5669291,307.6923077,335.6164384,337.5796178,1282.608696,407.1428571,1173.913043,409.4488189,1043.478261,446.2809917,242.6470588,314.2857143,268.4563758,355.4216867,311.4754098,305.0847458,344.8275862,371.4285714,363.0136986,1155.555556,934.7826087,978.2608696,913.0434783,1152.173913,1048.387097,1511.111111
0:48:23,293.0232558,1266.666667,280.7881773,326.7326733,1355.555556,238.8059701,204.8780488,1155.555556,217.8217822,227.7227723,230.0469484,171.0526316,1422.222222,229.7297297,351.1904762,327.3809524,235.2941176,361.8421053,254.7770701,287.4251497,275.4491018,934.7826087,1377.777778,291.6666667,1333.333333,1377.777778,1466.666667,1333.333333,1108.695652,250,977.7777778,978.2608696,978.2608696,1106.382979,1061.22449,1355.555556,1488.888889,1288.888889,1288.888889,436.5079365,1133.333333,1466.666667,303.030303,368,321.6783217,207.7922078,351.3513514,331.3609467,300,1600,303.030303,363.6363636,383.5616438,319.4444444,316.1764706,376,272.7272727,358.778626,414.8148148,350.9933775,279.6208531,336.9565217,375,1282.608696,343.0656934,536.2318841,321.6783217,377.0491803,366.4122137,347.5177305,411.3475177,275.862069,385.0931677,294.7976879,1173.913043,387.0967742,1391.304348,400,1108.695652,353.3834586,322.147651,285.7142857,290.9090909,338.7978142,243.7810945,289.3401015,267.0807453,294.8717949,376.5432099,1377.777778,1108.695652,1282.608696,934.7826087,1063.829787,967.7419355,1355.555556
0:58:23,232.4561404,1333.333333,220.1834862,179.7235023,1177.777778,225.8064516,164.4444444,1311.111111,206.2780269,188.3408072,181.4345992,239.8373984,1511.111111,197.4789916,270.2702703,275.6756757,276.6990291,311.7647059,274.2857143,231.1827957,252.688172,1130.434783,1244.444444,273.5849057,1377.777778,1488.888889,1111.111111,1333.333333,1195.652174,277.486911,1155.555556,955.5555556,1088.888889,978.7234043,1163.265306,1044.444444,1400,1311.111111,1400,405.7971014,1200,1111.111111,265.3061224,350,279.5031056,275.862069,310.9756098,303.1914894,305.5555556,1644.444444,241.7582418,314.4654088,337.4233129,277.7777778,287.5816993,285.7142857,216.2162162,356.1643836,393.3333333,266.2721893,192.139738,266.0098522,350,1108.695652,331.1688312,359.4771242,325,355.5555556,310.3448276,299.3630573,337.5796178,312.8205128,310.7344633,295.3367876,1369.565217,317.9190751,1413.043478,341.9354839,1065.217391,356.1643836,265.060241,315.7894737,282.6086957,282.1782178,225.8064516,194.4444444,279.3296089,316.091954,335.1955307,911.1111111,1086.956522,1413.043478,1065.217391,1065.217391,1000,1422.222222
1:08:23,253.1120332,1266.666667,240.3433476,202.5862069,1044.444444,209.4017094,180.3278689,1088.888889,179.5918367,165.2892562,179.389313,245.2830189,1222.222222,172.5490196,280.7881773,253.6585366,200.8928571,228.7234043,198.9795918,225.9615385,254.8076923,1152.173913,1288.888889,274.6781116,1555.555556,1244.444444,1244.444444,1466.666667,978.2608696,225.3521127,1244.444444,1222.222222,1066.666667,1042.553191,1163.265306,1355.555556,1622.222222,1311.111111,1488.888889,335.5263158,1377.777778,1311.111111,236.3636364,301.8867925,243.0939227,209.1836735,254.0540541,291.8660287,215.5172414,1444.444444,242.5742574,292.1348315,229.5081967,250,245.6140351,301.2820513,234.939759,325.1533742,321.4285714,243.3862434,269.3877551,221.719457,254.2372881,1043.478261,257.3099415,290.6976744,256.9832402,324.3243243,288.3435583,291.4285714,302.8571429,212.962963,256.4102564,309.5238095,1130.434783,265.625,1260.869565,260.1156069,956.5217391,302.4691358,271.7391304,221.0526316,247.5728155,244.3438914,240.3433476,257.5107296,247.4747475,269.4300518,271.3567839,1400,1021.73913,1173.913043,1152.173913,1086.956522,936.5079365,1533.333333
1:18:23,235.2941176,1422.222222,194.3319838,213.7096774,1444.444444,204,122.1374046,1266.666667,184.2105263,183.908046,165.4929577,183.3910035,1311.111111,179.4871795,237.4429224,238.7387387,214.8760331,215.3110048,202.764977,179.0393013,204.3478261,1043.478261,1400,205.5335968,1622.222222,1222.222222,1377.777778,1111.111111,1130.434783,158.1196581,1200,1200,1000,851.0638298,1204.081633,1533.333333,1444.444444,1333.333333,1355.555556,291.6666667,1111.111111,1200,189.1891892,333.3333333,201.9704433,155.2511416,169.9029126,263.1578947,287.4493927,1511.111111,248.8687783,252.5252525,226.6009852,257.4257426,177.0833333,222.8571429,203.2085561,250,283.4224599,282.2966507,213.740458,213.3891213,362.244898,1260.869565,205.2631579,276.0416667,225,309.0909091,276.2430939,292.3076923,273.1958763,233.0508475,240.5660377,231.441048,1239.130435,170.6161137,1369.565217,281.25,1130.434783,290.5027933,218.4466019,228.5714286,207.0484581,302.5210084,219.123506,184,253.4562212,287.7358491,198.156682,1377.777778,1108.695652,1217.391304,1086.956522,1276.595745,825.3968254,1311.111111
1:28:23,190.4761905,1533.333333,200.7575758,174.904943,1511.111111,202.247191,142.8571429,1155.555556,153.8461538,158.2733813,152.5974026,127.388535,1777.777778,146.2585034,240.3433476,227.8481013,180.7692308,171.0526316,151.2605042,188,168,1043.478261,1311.111111,202.9520295,1355.555556,1355.555556,1266.666667,1088.888889,1239.130435,163.3466135,1088.888889,1022.222222,1111.111111,1085.106383,1122.44898,1644.444444,1311.111111,1155.555556,1444.444444,264.8648649,1244.444444,1622.222222,187.5,237.3737374,186.6666667,172.8395062,219.2982456,264.2276423,222.6415094,1311.111111,205.8823529,281.1059908,171.9457014,224.2152466,148.1481481,253.8071066,238.0952381,229.2682927,277.5119617,246.6960352,195.7295374,243.1372549,303.7383178,956.5217391,236.9668246,248.8262911,121.6216216,298.9130435,177.3399015,261.4678899,148.8372093,204.7244094,236.8421053,181.0699588,1239.130435,226.0869565,1413.043478,283.0188679,956.5217391,258.8832487,163.7168142,213.0434783,208,232.2834646,271.3754647,176.0299625,236.2869198,214.9122807,239.3162393,1266.666667,1260.869565,1369.565217,956.5217391,1085.106383,888.8888889,1222.222222
1:38:23,197.9522184,1400,171.9298246,164.9122807,1355.555556,155.7093426,139.0728477,1200,147.9099678,158.2491582,113.7724551,141.5929204,1266.666667,169.3290735,186.2348178,192.9133858,177.9359431,171.4285714,167.96875,170.3703704,169.7416974,1000,1155.555556,214.2857143,1400,1200,1111.111111,1244.444444,1391.304348,172.7941176,1266.666667,1022.222222,978.2608696,1170.212766,979.5918367,1622.222222,1777.777778,1244.444444,1177.777778,231.5270936,1311.111111,1311.111111,164.5021645,214.6118721,146.3414634,181.8181818,162.601626,233.9622642,207.0175439,1377.777778,168.627451,208.5106383,233.3333333,199.1701245,172.9957806,196.347032,136.7521368,212.3893805,240.1746725,221.3114754,155.1155116,191.8819188,250,1521.73913,227.0742358,231.7596567,177.6859504,250,142.8571429,231.092437,174.4680851,191.1764706,228.5714286,196.1538462,1195.652174,186.2348178,1260.869565,229.4372294,869.5652174,285.7142857,171.4285714,168.6746988,181.4814815,208.7912088,177.7003484,168.4210526,219.6078431,243.8016529,199.2031873,1533.333333,1239.130435,1434.782609,1217.391304,1170.212766,873.015873,1488.888889
